Entry,Gene Names,Protein families
P0A8Y5,yidA b3697 JW3674,"HAD-like hydrolase superfamily, Cof family"
P0A8Y8,entH ybdB b0597 JW0589,Thioesterase PaaI family
P0A903,bamC dapX nlpB b2477 JW2462,BamC family
P0A910,ompA con tolG tut b0957 JW0940,"Outer membrane OOP (TC 1.B.6) superfamily, OmpA family"
P0A912,pal excC b0741 JW0731,Pal lipoprotein family
P0A921,pldA b3821 JW3794,Phospholipase A1 family
P0A924,pgpB b1278 JW1270,PA-phosphatase related phosphoesterase family
P0A935,mltA mlt ygdM b2813 JW2784,
P0A937,bamE smpA b2617 JW2598,BamE family
P0A940,bamA yaeT yzzN yzzY b0177 JW0172,BamA family
P0A944,rimI b4373 JW4335,"Acetyltransferase family, RimI subfamily"
P0A948,rimJ b1066 JW1053,"Acetyltransferase family, RimJ subfamily"
P0A951,speG b1584 JW1576,Acetyltransferase family
P0A953,fabB fabC b2323 JW2320,"Thiolase-like superfamily, Beta-ketoacyl-ACP synthases family"
P0A955,eda hga kdgA b1850 JW1839,KHG/KDPG aldolase family
P0A959,alaA yfbQ b2290 JW2287,Class-I pyridoxal-phosphate-dependent aminotransferase family
P0A962,ansA b1767 JW1756,Asparaginase 1 family
P0A964,cheW b1887 JW1876,
P0A968,cspD cspH ybjA b0880 JW0864,
P0A972,cspE gicA msmC b0623 JW0618,
P0A988,dnaN b3701 JW3678,Beta sliding clamp family
P0A991,fbaB dhnA b2097 JW5344,"DeoC/FbaB aldolase family, FbaB subfamily"
P0A993,fbp fdp b4232 JW4191,FBPase class 1 family
P0A998,ftnA ftn gen-165 rsgA b1905 JW1893,"Ferritin family, Prokaryotic subfamily"
P0A9A6,ftsZ sfiB sulB b0095 JW0093,FtsZ family
P0A9A9,fur b0683 JW0669,Fur family
P0A9B2,gapA b1779 JW1768,Glyceraldehyde-3-phosphate dehydrogenase family
P0A9B6,epd gapB b2927 JW2894,"Glyceraldehyde-3-phosphate dehydrogenase family, Epd subfamily"
P0A9C0,glpA b2241 JW2235,FAD-dependent glycerol-3-phosphate dehydrogenase family
P0A9C5,glnA b3870 JW3841,Glutamine synthetase family
P0A9C9,glpX b3925 JW3896,FBPase class 2 family
P0A9D2,gstA gst b1635 JW1627,"GST superfamily, Beta family"
P0A9D8,dapD b0166 JW0161,Transferase hexapeptide repeat family
P0A9E0,araC b0064 JW0063,
P0A9E5,fnr nirR b1334 JW1328,
P0A9G4,cueR copR ybbI b0487 JW0476,
P0A9G6,aceA icl b4015 JW3975,"Isocitrate lyase/PEP mutase superfamily, Isocitrate lyase family"
P0A9G8,modE modR b0761 JW0744,ModE family
P0A9H3,cadA ldcI b4131 JW4092,Orn/Lys/Arg decarboxylase class-I family
P0A9H7,cfa cdfA b1661 JW1653,CFA/CMAS family
P0A9H9,cheZ b1881 JW1870,CheZ family
P0A9J0,rng cafA orfF yhdF b3247 JW3216,"RNase E/G family, RNase G subfamily"
P0A9J4,panE apbA b0425 JW0415,Ketopantoate reductase family
P0A9J6,rbsK b3752 JW3731,"Carbohydrate kinase PfkB family, Ribokinase subfamily"
P0A9J8,pheA b2599 JW2580,
P0A9K7,phoU nmpA b3724 JW3702,PhoU family
P0A9K9,slyD b3349 JW3311,FKBP-type PPIase family
P0A9L3,fklB ytfC b4207 JW5746,FKBP-type PPIase family
P0A9M0,lon capR deg lopA muc b0439 JW0429,Peptidase S16 family
P0A9M2,hpt b0125 JW5009,Purine/pyrimidine phosphoribosyltransferase family
P0A9M5,gpt gpp gxu b0238 JW0228,"Purine/pyrimidine phosphoribosyltransferase family, XGPT subfamily"
P0A9M8,pta b2297 JW2294,CobB/CobQ family; Phosphate acetyltransferase and butyryltransferase family
P0A9N4,pflA act b0902 JW0885,Organic radical-activating enzymes family
P0A9N8,nrdG yjgE b4237 JW4196,Organic radical-activating enzymes family
P0A9P0,lpdA lpd b0116 JW0112,Class-I pyridine nucleotide-disulfide oxidoreductase family
P0A9P4,trxB b0888 JW0871,Class-II pyridine nucleotide-disulfide oxidoreductase family
P0A9P6,deaD csdA mssB rhlD b3162 JW5531,"DEAD box helicase family, DeaD/CsdA subfamily"
P0A9Q1,arcA cpxC dye fexA msp seg sfrA b4401 JW4364,
P0A9Q5,accD dedB usg b2316 JW2313,AccD/PCCB family
P0A9Q7,adhE ana b1241 JW1228,Aldehyde dehydrogenase family; Iron-containing alcohol dehydrogenase family
P0A9Q9,asd hom b3433 JW3396,Aspartate-semialdehyde dehydrogenase family
P0A9R4,fdx b2525 JW2509,Adrenodoxin/putidaredoxin family
P0A9R7,ftsE b3463 JW3428,ABC transporter superfamily
P0A9S1,fucO b2799 JW2770,Iron-containing alcohol dehydrogenase family
P0A9S5,gldA b3945 JW5556,Iron-containing alcohol dehydrogenase family
P0A9S7,livG b3455 JW3420,ABC transporter superfamily
P0A9T0,serA b2913 JW2880,D-isomer specific 2-hydroxyacid dehydrogenase family
P0A9V1,lptB yhbG b3201 JW3168,"ABC transporter superfamily, Outer membrane lipopolysaccharide export (TC 1.B.42) family"
P0A9V8,yihU b3882 JW3853,"HIBADH-related family, 3-sulfolactaldehyde reductase subfamily"
P0A9W3,ettA yjjK b4391 JW4354,"ABC transporter superfamily, ABCF family, Translational throttle EttA subfamily"
P0A9X4,mreB envB rodY b3251 JW3220,FtsA/MreB family
P0A9X9,cspA cspS b3556 JW3525,
P0A9Y6,cspC msmB b1823 JW1812,
P0A9Z1,glnB b2553 JW2537,P(II) protein family
P0AA04,ptsH hpr b2415 JW2408,HPr family
P0AA10,rplM b3231 JW3200,Universal ribosomal protein uL13 family
P0AA16,ompR kmt ompB b3405 JW3368,
P0AA25,trxA fipA tsnC b3781 JW5856,Thioredoxin family
P0AA37,rluA yabO b0058 JW0057,Pseudouridine synthase RluA family
P0AA41,truC yqcB b2791 JW2762,Pseudouridine synthase RluA family
P0AA43,rsuA yejD b2183 JW2171,Pseudouridine synthase RsuA family
P0AA47,plaP yeeF b2014 JW5330,Amino acid-polyamine-organocation (APC) superfamily
P0AA76,dgoT yidT b3691 JW5859,"Major facilitator superfamily, Phthalate permease family"
P0AA78,exuT b3093 JW3064,"Major facilitator superfamily, Phthalate permease family"
P0AA84,clsB ybhO b0789 JW0772,"Phospholipase D family, Cardiolipin synthase subfamily, ClsB sub-subfamily"
P0AA89,dosC dgcO yddV b1490 JW5241,
P0AA93,ypdA b2380 JW5388,
P0AAA9,zraP yjaI zra b4002 JW5546,ZraP family
P0AAB4,ubiD yigC yigY b3843 JW3819,UbiD family
P0AAC6,yccA b0970 JW0953,BI1 family
P0AAC8,iscA yfhF b2528 JW2512,HesB/IscA family
P0AAD6,sdaC dcrA b2796 JW2767,"Amino acid/polyamine transporter 2 family, SdaC/TdcC subfamily"
P0AAD8,tdcC b3116 JW3087,"Amino acid/polyamine transporter 2 family, SdaC/TdcC subfamily"
P0AAE0,cycA dagA ytfD b4208 JW4166,"Amino acid-polyamine-organocation (APC) superfamily, Amino acid transporter (AAT) (TC 2.A.3.1) family"
P0AAE8,cadB b4132 JW4093,"Amino acid-polyamine-organocation (APC) superfamily, Basic amino acid/polyamine antiporter (APA) (TC 2.A.3.2) family"
P0AAF1,potE b0692 JW0679,"Amino acid-polyamine-organocation (APC) superfamily, Basic amino acid/polyamine antiporter (APA) (TC 2.A.3.2) family"
P0AAG0,dppD b3541 JW3510,ABC transporter superfamily
P0AAH0,pstB phoT b3725 JW3703,"ABC transporter superfamily, Phosphate importer (TC 3.A.1.7) family"
P0AAH4,sapD trkE b1291 JW1284,ABC transporter superfamily
P0AAI3,ftsH hflB mrsC std tolZ b3178 JW3145,AAA ATPase family; Peptidase M41 family
P0AAI5,fabF fabJ b1095 JW1081,"Thiolase-like superfamily, Beta-ketoacyl-ACP synthases family"
P0AAJ3,fdnH b1475 JW1471,
P0AAJ5,fdoH b3893 JW3864,
P0AAM1,hyaC b0974 JW0956,HupC/HyaC/HydC family
P0AAM3,hypC b2728 JW2698,HupF/HypC family
P0AAM7,hybG b2990 JW2958,HupF/HypC family
P0AAN3,hypB b2727 JW2697,"SIMIBI class G3E GTPase family, HypB/HupM subfamily"
P0AAR3,ybaK b0481 JW0470,"Prolyl-tRNA editing family, YbaK/EbsC subfamily"
P0AAT6,rsfS rsfA slm3 ybeB b0637 JW5090,Iojap/RsfS family
P0AAW9,acrZ ybhT b0762 JW5102,AcrZ family
P0AAX8,ybiS b0819 JW0803,YkuD family
P0AAZ4,rarA mgsA ycaJ b0892 JW0875,"AAA ATPase family, RarA/MGS1/WRNIP1 subfamily"
P0AB38,lpoB ycfM b1105 JW5157,LpoB family
P0AB58,lapB yciM b1280 JW1272,LapB family
P0AB71,fbaA fba fda b2925 JW2892,Class II fructose-bisphosphate aldolase family
P0AB74,kbaY agaY kba yraC b3137 JW3106,"Class II fructose-bisphosphate aldolase family, TagBP aldolase KbaY subfamily"
P0AB77,kbl b3617 JW3592,Class-II pyridoxal-phosphate-dependent aminotransferase family
P0AB80,ilvE b3770 JW5606,Class-IV pyridoxal-phosphate-dependent aminotransferase family
P0AB83,nth b1633 JW1625,Nth/MutY family
P0AB87,fucA fucC prd b2800 JW2771,"Aldolase class II family, AraD/FucA subfamily"
P0AB89,purB b1131 JW1117,"Lyase 1 family, Adenylosuccinate lyase subfamily"
P0AB91,aroG b0754 JW0737,Class-I DAHP synthase family
P0AB98,atpB papD uncB b3738 JW3716,ATPase A chain family
P0ABA4,atpH papE uncH b3735 JW3713,ATPase delta chain family
P0ABA6,atpG papC uncG b3733 JW3711,ATPase gamma chain family
P0ABB0,atpA papA uncA b3734 JW3712,ATPase alpha/beta chains family
P0ABB4,atpD papB uncD b3732 JW3710,ATPase alpha/beta chains family
P0ABB8,mgtA corB mgt b4242 JW4201,"Cation transport ATPase (P-type) (TC 3.A.3) family, Type IIIB subfamily"
P0ABC7,hflK hflA b4174 JW4132,"Band 7/mec-2 family, HflK subfamily"
P0ABD3,bfr b3336 JW3298,Bacterioferritin family
P0ABD5,accA b0185 JW0180,AccA family
P0ABD8,accB fabE b3255 JW3223,
P0ABE5,cybB b1418 JW5224,Cytochrome b561 family
P0ABF1,pcnB b0143 JW5808,TRNA nucleotidyltransferase/poly(A) polymerase family
P0ABF6,cdd b2143 JW2131,Cytidine and deoxycytidylate deaminase family
P0ABG4,ftsW b0089 JW0087,"SEDS family, FtsW subfamily"
P0ABG7,mrdB rodA b0634 JW0629,"SEDS family, MrdB/RodA subfamily"
P0ABH0,ftsA divA b0094 JW0092,FtsA/MreB family
P0ABH7,gltA gluT icdB b0720 JW0710,Citrate synthase family
P0ABH9,clpA lopD b0882 JW0866,ClpA/ClpB family
P0ABI4,corA b3816 JW3789,CorA metal ion transporter (MIT) (TC 1.A.35) family
P0ABI8,cyoB b0431 JW0421,Heme-copper respiratory oxidase family
P0ABJ1,cyoA b0432 JW0422,Cytochrome c oxidase subunit 2 family
P0ABJ3,cyoC b0430 JW0420,Cytochrome c oxidase subunit 3 family
P0ABJ6,cyoD b0429 JW0419,Cytochrome c oxidase bacterial subunit 4 family
P0ABJ9,cydA cyd-1 b0733 JW0722,Cytochrome ubiquinol oxidase subunit 1 family
P0ABK2,cydB cyd-2 b0734 JW0723,Cytochrome ubiquinol oxidase subunit 2 family
P0ABK5,cysK cysZ b2414 JW2407,Cysteine synthase/cystathionine beta-synthase family
P0ABK7,csgB b1041 JW1024,CsgA/CsgB family
P0ABK9,nrfA b4070 JW4031,Cytochrome c-552 family
P0ABL3,napB yejY b2203 JW5367,NapB family
P0ABN1,dgkA dgk b4042 JW4002,Bacterial diacylglycerol kinase family
P0ABN5,dcuA genA b4138 JW5735,DcuA/DcuB transporter (TC 2.A.13.1) family
P0ABN9,dcuB genF b4123 JW4084,DcuA/DcuB transporter (TC 2.A.13.1) family
P0ABP3,dcuC b0621 JW0613/JW0616,DcuC/DcuD transporter (TC 2.A.61) family
P0ABP8,deoD pup b4384 JW4347,PNP/UDP phosphorylase family
P0ABQ0,coaBC dfp b3639 JW5642,HFCD (homo-oligomeric flavin containing Cys decarboxylase) superfamily; PPC synthetase family
P0ABQ4,folA tmrA b0048 JW0047,Dihydrofolate reductase family
P0ABR9,mhpB b0348 JW0339,LigB/MhpB extradiol dioxygenase family
P0ABS1,dksA b0145 JW0141,DksA family
P0ABS5,dnaG dnaP parB b3066 JW3038,DnaG primase family
P0ABS8,holE b1842 JW1831,
P0ABT2,dps pexB vtm b0812 JW0797,Dps family
P0ABU0,menB b2262 JW2257,"Enoyl-CoA hydratase/isomerase family, MenB subfamily"
P0ABU2,ychF engD gtp1 b1203 JW1194,"TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family, YchF/OLA1 subfamily"
P0ABU7,exbB b3006 JW2974,ExbB/TolQ family
P0ABU9,tolQ fii b0737 JW0727,ExbB/TolQ family
P0ABV2,exbD b3005 JW2973,ExbD/TolR family
P0ABV6,tolR b0738 JW0728,ExbD/TolR family
P0ABZ1,fliG fla AII.2 fla BII b1939 JW1923,FliG family
P0ABZ6,surA b0053 JW0052,
P0AC00,frlB yhfN b3371 JW5700,
P0AC02,bamD yfiO b2595 JW2577,BamD family
P0AC13,folP dhpS b3177 JW3144,DHPS family
P0AC16,folB ygiG b3058 JW3030,DHNA family
P0AC19,folX b2303 JW2300,DHNA family
P0AC23,focA ycaE b0904 JW0887,FNT transporter (TC 1.A.16) family
P0AC30,ftsX ftsS b3462 JW3427,"ABC-4 integral membrane protein family, FtsX subfamily"
P0AC33,fumA b1612 JW1604,Class-I fumarase family
P0AC38,aspA b4139 JW4099,"Class-II fumarase/aspartase family, Aspartase subfamily"
P0AC41,sdhA b0723 JW0713,"FAD-dependent oxidoreductase 2 family, FRD/SDH subfamily"
P0AC44,sdhD b0722 JW0712,
P0AC47,frdB b4153 JW4114,Succinate dehydrogenase/fumarate reductase iron-sulfur protein family
P0AC53,zwf b1852 JW1841,Glucose-6-phosphate dehydrogenase family
P0AC55,glnK ybaI b0450 JW0440,P(II) protein family
P0AC69,grxD ydhD b1654 JW1646,"Glutaredoxin family, Monothiol subfamily"
P0AC75,waaA kdtA b3633 JW3608,"Glycosyltransferase group 1 family, Glycosyltransferase 30 subfamily"
P0AC78,wecA rfe b3784 JW3758,"Glycosyltransferase 4 family, WecA subfamily"
P0AC81,gloA b1651 JW1643,Glyoxalase I family
P0AC84,gloB yafR b0212 JW0202,"Metallo-beta-lactamase superfamily, Glyoxalase II family"
P0AC88,gmd yefA yefN b2053 JW2038,"NAD(P)-dependent epimerase/dehydratase family, GDP-mannose 4,6-dehydratase subfamily"
P0AC98,satP yaaH b0010 JW0009,Acetate uptake transporter (AceTr) (TC 2.A.96) family
P0ACB0,dnaB groP grpA b4052 JW4012,"Helicase family, DnaB subfamily"
P0ACB2,hemB ncf b0369 JW0361,ALAD family
P0ACB4,hemG yihB b3850 JW3827,HemG family
P0ACC1,prmC hemK b1212 JW1203,"Protein N5-glutamine methyltransferase family, PrmC subfamily"
P0ACC3,erpA yadR b0156 JW0152,HesB/IscA family
P0ACC7,glmU yieA b3730 JW3708,N-acetylglucosamine-1-phosphate uridyltransferase family; Transferase hexapeptide repeat family
P0ACD4,iscU nifU yfhN b2529 JW2513,NifU family
P0ACD8,hyaB b0973 JW0955,[NiFe]/[NiFeSe] hydrogenase large subunit family
P0ACE0,hybC b2994 JW2962,[NiFe]/[NiFeSe] hydrogenase large subunit family
P0ACE3,hha b0460 JW0449,Hha/YmoA/Cnu family
P0ACE7,hinT ycfF b1103 JW1089,HINT family
P0ACF0,hupA b4000 JW3964,Bacterial histone-like protein family
P0ACF4,hupB hopD b0440 JW0430,Bacterial histone-like protein family
P0ACF8,hns bglY cur drdX h-ns hnsA msyA osmZ pilG topS b1237 JW1225,Histone-like protein H-NS family
P0ACG1,stpA hnsB b2669 JW2644,Histone-like protein H-NS family
P0ACG8,hslR yrfH b3400 JW3363,HSP15 family
P0ACJ0,lrp alsB ihb livR oppI b0889 JW0872,
P0ACJ8,crp cap csm b3357 JW5702,
P0ACN4,allR glxA3 ybbU b0506 JW0494,
P0ACP7,purR b1658 JW1650,
P0ACQ4,oxyR momR mor b3961 JW3933,LysR transcriptional regulatory family
P0ACS2,soxR marC b4063 JW4024,
P0ACV0,lpxL htrB waaM b1054 JW1041,LpxL/LpxM/LpxP family
P0ACV6,mpaA ycjI b1326 JW1319,Peptidase M14 family
P0AD14,btsS yehU b2126 JW5353,
P0AD49,raiA yfiA b2597 JW2578,"HPF/YfiA ribosome-associated protein family, YfiA subfamily"
P0AD57,ispB cel yhbD b3187 JW3154,FPP/GGPP synthase family
P0AD59,ivy ykfE b0220 JW0210,Ivy family
P0AD61,pykF b1676 JW1666,Pyruvate kinase family
P0AD65,mrdA pbpA b0635 JW0630,"Transpeptidase family, MrdA subfamily"
P0AD68,ftsI pbpB b0084 JW0082,"Transpeptidase family, FtsI subfamily"
P0AD70,ampH yaiH b0376 JW5052,Beta-lactamase family
P0AD99,brnQ b0401 JW0391,Branched chain amino acid transporter family
P0ADA1,tesA apeA pldC b0494 JW0483,'GDSL' lipolytic enzyme family
P0ADA3,nlpD b2742 JW2712,E.coli NlpD/Haemophilus LppB family
P0ADC1,lptE rlpB b0641 JW0636,LptE lipoprotein family
P0ADE4,tamA yftM ytfM b4220 JW4179,TamA family
P0ADG4,suhB ssyA b2533 JW2517,Inositol monophosphatase superfamily
P0ADG7,guaB guaR b2508 JW5401,IMPDH/GMPR family
P0ADI4,entB entG b0595 JW0587,Isochorismatase family
P0ADL1,nepI yicM b3662 JW5938,"Major facilitator superfamily, DHA1 family, NepI (TC 2.A.1.2.26) subfamily"
P0ADP0,yigB b3812 JW3785,HAD-like hydrolase superfamily
P0ADP2,yigI b3820 JW5588,YigI thioesterase family
P0ADR8,ppnN ygdH b2795 JW2766,LOG family
P0ADS2,zapA ygfE b2910 JW2878,"ZapA family, Type 1 subfamily"
P0ADV1,lptA yhbN b3200 JW3167,LptA family
P0ADV9,lptC yrbK b3199 JW3166,LptC family
P0ADY1,ppiD ybaU b0441 JW0431,PpiD chaperone family
P0ADY3,rplN b3310 JW3272,Universal ribosomal protein uL14 family
P0ADY7,rplP b3313 JW3275,Universal ribosomal protein uL16 family
P0ADZ0,rplW b3318 JW3280,Universal ribosomal protein uL23 family
P0ADZ4,rpsO secC b3165 JW3134,Universal ribosomal protein uS15 family
P0AE01,trmJ yfhQ b2532 JW2516,"Class IV-like SAM-binding methyltransferase superfamily, RNA methyltransferase TrmH family"
P0AE06,acrA lir mtcA b0463 JW0452,Membrane fusion protein (MFP) (TC 8.A.1) family
P0AE08,ahpC b0605 JW0598,"Peroxiredoxin family, AhpC/Prx1 subfamily"
P0AE12,amn b1982 JW1963,AMP nucleosidase family
P0AE16,ampG b0433 JW0423,Major facilitator superfamily
P0AE18,map b0168 JW0163,"Peptidase M24A family, Methionine aminopeptidase type 1 subfamily"
P0AE22,aphA napA yjbP b4055 JW4015,Class B bacterial acid phosphatase family
P0AE24,araE b2841 JW2809,"Major facilitator superfamily, Sugar transporter (TC 2.A.1.1) family"
P0AE52,bcp b2480 JW2465,"Peroxiredoxin family, BCP/PrxQ subfamily"
P0AE67,cheY b1882 JW1871,
P0AE70,mazF chpA chpAK b2782 JW2753,PemK/MazF family
P0AE72,mazE chpAI chpR b2783 JW2754,PemI family
P0AE82,cpxA ecfB eup ssd b3911 JW3882,
P0AE85,cpxP yiiO b4484 JW5558,CpxP/Spy family
P0AE88,cpxR yiiA b3912 JW3883,
P0AEA8,cysG b3368 JW3331,Precorrin-2 dehydrogenase / sirohydrochlorin ferrochelatase family; Precorrin methyltransferase family
P0AEB2,dacA pfv b0632 JW0627,Peptidase S11 family
P0AEC3,arcB b3210 JW5536,
P0AEC5,barA b2786 JW2757,
P0AEC8,dcuS yjdH b4125 JW4086,
P0AED7,dapE msgB b2472 JW2456,"Peptidase M20A family, DapE subfamily"
P0AEE3,degS hhoB htrH b3235 JW3204,Peptidase S1C family
P0AEE5,mglB b2150 JW2137,Bacterial solute-binding protein 2 family
P0AEE8,dam b3387 JW3350,N(4)/N(6)-methyltransferase family
P0AEF0,dnaC dnaD b4361 JW4325,DnaC family
P0AEG4,dsbA dsf ppfA b3860 JW3832,"Thioredoxin family, DsbA subfamily"
P0AEG6,dsbC xprA b2893 JW2861,"Thioredoxin family, DsbC subfamily"
P0AEH1,rseP ecfE yaeL b0176 JW0171,Peptidase M50B family
P0AEI1,miaB yleA b0661 JW0658,"Methylthiotransferase family, MiaB subfamily"
P0AEJ0,emrB b2686 JW2661,"Major facilitator superfamily, EmrB family"
P0AEJ2,entC b0593 JW0585,Isochorismate synthase family
P0AEJ4,envZ ompB perA tpo b3404 JW3367,
P0AEJ6,eutB b2441 JW2434,EutB family
P0AEK2,fabG b1093 JW1079,Short-chain dehydrogenases/reductases (SDR) family
P0AEK4,fabI envM b1288 JW1281,"Short-chain dehydrogenases/reductases (SDR) family, FabI subfamily"
P0AEK7,fdnI b1476 JW1472,Formate dehydrogenase gamma subunit family
P0AEL0,fdoI b3892 JW3863,Formate dehydrogenase gamma subunit family
P0AEM0,fkpB slpA yaaD b0028 JW0026,FKBP-type PPIase family
P0AEM6,fliA flaD rpoF b1922 JW1907,"Sigma-70 factor family, FliA subfamily"
P0AEM9,tcyJ fliY yzzR b1920 JW1905,Bacterial solute-binding protein 3 family
P0AEN1,fre fadI flrD fsrC ubiB b3844 JW3820,Fre/LuxG FAD/NAD(P) flavoprotein oxidoreductase family
P0AEN4,ftsL mraR yabD b0083 JW0081,FtsL family
P0AEN8,fucU b2804 JW2775,"RbsD / FucU family, FucU mutarotase subfamily"
P0AEP3,galU ychD b1236 JW1224,UDPGP type 2 family
P0AEP7,gcl b0507 JW0495,TPP enzyme family
P0AEP9,glcD gox yghM b2979 JW2946,FAD-binding oxidoreductase/transferase type 4 family
P0AER0,glpF b3927 JW3898,MIP/aquaporin (TC 1.A.8) family
P0AES0,gss gsp b2988 JW2956,Glutathionylspermidine synthase preATP-grasp family
P0AES2,gudD ygcX b2787 JW2758,"Mandelate racemase/muconate lactonizing enzyme family, GlucD subfamily"
P0AES4,gyrA hisW nalA parD b2231 JW2225,Type II topoisomerase GyrA/ParC subunit family
P0AES6,gyrB acrB cou himB hisU nalC parA pcbA b3699 JW5625,Type II topoisomerase family
P0AES9,hdeA yhhC yhiB b3510 JW3478,HdeA family
P0AET2,hdeB yhhD yhiC b3509 JW5669,HdeB family
P0AET8,hdhA hsdH b1619 JW1611,Short-chain dehydrogenases/reductases (SDR) family
P0AEU7,skp hlpA ompH b0178 JW0173,Skp family
P0AEV1,rssB hnr sprE ychL b1235 JW1223,RssB family
P0AEV9,hycI b2717 JW2687,Peptidase A31 family
P0AEW6,gsk b0477 JW0466,Carbohydrate kinase PfkB family
P0AEW9,fruK fpk b2168 JW2155,Carbohydrate kinase PfkB family
P0AEX7,livH b3457 JW3422,"Binding-protein-dependent transport system permease family, LivHM subfamily"
P0AEX9,malE b4034 JW3994,Bacterial solute-binding protein 1 family
P0AEY3,mazG b2781 JW2752,Nucleoside triphosphate pyrophosphohydrolase family
P0AEY5,mdaB mda66 b3028 JW2996,Oxidoreductase MdaB family
P0AEY8,mdfA cmlA cmr b0842 JW0826,"Major facilitator superfamily, MdfA family"
P0AEZ1,metF b3941 JW3913,Methylenetetrahydrofolate reductase family
P0AEZ3,minD b1175 JW1164,"ParA family, MinD subfamily"
P0AF06,motB b1889 JW1878,MotB family
P0AF12,mtnN mtn pfs yadA b0159 JW0155,"PNP/UDP phosphorylase family, MtnN subfamily"
P0AF16,murJ mviN yceN b1069 JW1056,MurJ/MviN family
P0AF18,nagA b0677 JW0663,"Metallo-dependent hydrolases superfamily, NagA family"
P0AF24,nagD b0675 JW0661,"HAD-like hydrolase superfamily, NagD family"
P0AF28,narL frdR b1221 JW1212,
P0AF32,narV b1465 JW1460,
P0AF36,zapB yiiU b3928 JW3899,ZapB family
P0AF52,ghxP yjcD b4064 JW4025,"Nucleobase:cation symporter-2 (NCS2) (TC 2.A.40) family, Azg-like subfamily"
P0AF61,ghoS arT yjdK b4128 JW4089,
P0AF67,tsaE yjeE b4168 JW4126,TsaE family
P0AF90,rraB yjgD b4255 JW4212,RraB family
P0AF93,ridA yjgF b4243 JW5755,RutC family
P0AFA2,narX narR b1222 JW1213,
P0AFA7,nhaB b1186 JW1175,NhaB Na(+)/H(+) (TC 2.A.34) antiporter family
P0AFB1,nlpI yhbM b3163 JW3132,
P0AFB5,glnL glnR ntrB b3869 JW3840,
P0AFB8,glnG glnT ntrC b3868 JW3839,
